id,title,overview,genres,release_date,vote_average,vote_count,popularity,poster_path,directors,cast,keywords
569094,스파이더맨: 어크로스 더 유니버스,"여러 성장통을 겪으며 새로운 스파이더맨이 된 마일스 모랄레스. 그 앞에 다른 평행세계의 스파이더우먼 그웬이 다시 나타난다. 모든 차원의 멀티버스 속 스파이더맨들을 만나게 되지만, 질서에 대한 신념이 부딪히며 예상치 못한 균열이 생기는데… 상상 그 이상을 넘어서는 멀티버스의 세계가 열린다!","['애니메이션', '액션', '모험', 'SF']",2023-05-31,8.336,8622,29.1277,/lMWTlGr9jVUC18T515hPRKym5QQ.jpg,"['켐프 파워스', '저스틴 톰슨', '조아킴 도스 샌토스']","['셔믹 무어', '헤일리 스타인펠드', '브라이언 타이리 헨리', '로런 벨레스', '제이크 존슨']","['new york city', 'hero', 'double life', 'sacrifice', 'secret identity', 'superhero', 'villain', 'portal', 'based on comic', 'sequel', 'romance', 'alter ego', 'alternate dimension', 'parenting', 'family', 'alternate version', 'super power', 'brooklyn, new york city', 'superhero team', 'spider bite', 'super villain', 'cliffhanger', 'masked superhero', 'teenage romance', 'young heroes', 'teen superhero', 'teen social issues', 'chelsea', 'alternate universe', 'superhero teamup', 'female superhero', 'slow burn romance', 'interdimensional travel', 'ambiguous', 'cliché', 'enthusiastic', 'excited', 'vibrant', 'multiverse']"
829557,365일: 오늘,"재결합하여 그 어느 때보다도 열렬한 관계를 이어가는 라우라와 마시모. 하지만 마시모의 가족 관계, 그리고 라우라의 마음을 얻으려는 수수께끼의 남자로 인해 삶이 복잡해진다.","['로맨스', '드라마']",2022-04-26,5.9,1844,28.1766,/nzrh7HhednL8gp08zR1rY3OAImC.jpg,"['Barbara Białowąs', '토마시 만데스']","['Anna-Maria Sieklucka', '미켈레 모로네', '시모네 수신나', 'Magdalena Lamparska', 'Otar Saralidze']","['gangster', 'sequel', 'bdsm', 'rich man poor woman', 'sex', 'erotique']"
950396,'더 캐니언' - The Gorge,"고도의 훈련을 받은 두 요원는 비밀스러운 협곡의 양쪽을 지키는 임무를 받은 후 멀리서 서로와 서서히 친해진다. 도사리고 있던 악이 드러나자, 둘은 협곡 안의 위험으로부터 살아남기 위해 협력해야만 한다.","['로맨스', 'SF', '스릴러']",2025-02-13,7.638,3734,26.7735,/dBKMc0Bim0Z8amB7VihuCfhto2v.jpg,['스콧 데릭슨'],"['마일스 텔러', '안야 테일러조이', '시고니 위버', '쇼페 디리수', 'William Houston']","['isolation', 'fog', 'tower', 'elite sniper', 'trust issues', 'snipers', 'long-term observation', 'paranoïa', 'unknown threat', 'mysterious canyon', 'sci‑fi romance', 'espionage mission', 'surveillance partners', 'enigmatic environment', 'survival pressure', 'restricted zone']"
550,파이트 클럽,"자동차 회사의 리콜 심사관으로 일하는 주인공은 일상의 무료함과 공허함 속에서 늘 새로운 탈출을 꿈꾼다. 그는 비행기에서 자신을 비누 제조업자라고 소개하는 타일러 더든을 만난다. 집에 돌아온 주인공은 아파트가 누군가에 의해 폭파되었음을 발견하고, 타일러에게 도움을 청해 함께 생활하게 된다. 어느 날 밤 타일러는 주인공에게 자신을 때려달라고 부탁한다. 사람은 싸워봐야 진정한 자신을 알 수 있다는 것이다. 결국 이들은 매주 토요일 밤 술집 지하에서 맨주먹으로 격투를 벌이는 파이트 클럽을 결성하기에 이르는데...","['드라마', '스릴러']",1999-10-15,8.4,32058,28.925,/eKZ07Ted7VHxQjbuZrRBFOamcKJ.jpg,['데이비드 핀처'],"['에드워드 노튼', '브래드 피트', '헬레나 본햄 카터', 'Meat Loaf', '자레드 레토']","['dual identity', 'rage and hate', 'based on novel or book', 'nihilism', 'fight', 'support group', 'dystopia', 'insomnia', 'alter ego', 'breaking the fourth wall', 'split personality', 'quitting a job', 'dissociative identity disorder', 'self destructiveness']"
862,토이 스토리,"카우보이 인형 우디는 꼬마 주인인 앤디의 가장 사랑받는 장난감이다. 그러나 어느날 버즈라는 새로운 장난감이 등장한다.  버즈는 최신형 장난감으로 레이저 빔 등의 첨단장비를 갖추고 있으나, 버즈는 자신이 장난감임을 인식하지 못하고 자신이 우주에서 온 전사이며 자신이 갖춘 장비로 하늘을 날 수 있다고 믿고 있다. 버즈의 허상을 상처받지 않고 인식시켜 주려는 우디와 친구들. 그러나 뜻밖의 사고가 일어난다. 옆집 개에게 버즈가 납치당하고 이런 버즈를 구하기 위해 우디와 친구들은 구조대를 조직해 버즈를 구하러 가는데...","['가족', '코미디', '애니메이션', '모험']",1995-11-22,7.975,19886,28.5782,/iJbm78MxPjLutWUYixbeege8EVe.jpg,['존 라세터'],"['톰 행크스', '팀 앨런', '돈 리클리스', '짐 바니', '월리스 숀']","['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementary school', 'rivalry', 'anthropomorphism', 'friends', 'computer animation', 'buddy', 'walkie talkie', 'toy car', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness', 'toy', 'hilarious', 'cheerful', 'pixar']"
1522126,1000 Men and Me: The Bonnie Blue Story,,"['다큐멘터리', 'TV 영화']",2025-07-29,5.735,17,34.4715,/5dcgoyf8nt6Xt4VSR6Nrn6nwhuz.jpg,['Victoria Silver'],"['Bonnie Blue', 'Victoria Silver', 'Belle Delphine', 'Lily Phillips', 'Annie Knight']","['porn industry', 'softcore', 'nude photography']"
564,미이라,"고대 이집트의 파라오 중 가장 영화를 누렸던 세티 1세의 시대. 세티 1세의 정부인 앙크수나문과 세티 1세의 총애을 한몸에 받던 승정원 이모탭은 금지된 사랑에 빠진다. 그러나 그들의 운명적인 사랑은 얼마되지 않아 파라오에게 발각되고 이에 앙크수나문은 자결하게 된다. 이모텝은 흑마서의 주문으로 그녀를 부활시키려 하지만, 파라오의 근위대에 붙잡히게 되고, '홈다이'라는 형벌에 처해진다. 홈다이란 산 채로 석관에 갇혀 영원히 생시체가 되는 끔찍한 극형. 결국 금지된 사랑은 파라오의 저주로 비극적인 끝을 맺고 왕족들이 잠든 하무납트라는 죽음의 도시가 되어 역사 속에 묻힌다.  황금의 유물을 찾아 여러 탐험가들이 하무납트라를 찾아오지만 하나 같이 의문의 죽음을 당하고, 전투 중에 피신했던 외인부대 장교 오커넬만이 유일하게 살아남는다. 그 소식을 들은 이집트 박물관 사서 이비와 그녀의 오빠 조나단이 오커넬을 찾아오고 죽음의 도시 하무납트라에 관한 단서를 듣게 된다. 용기와 모험심으로 뭉친 세 사람은 의기 투합하여 하무납트라의 황금유물을 찾아 떠나기로 한다.  한편 파라오의 저주를 푸는 열쇠를 손에 넣은 조나단은 실수로 이모텝을 부활시키고, 마침내 3천년을 기다려온 엄청난 분노가 온 이집트를 뒤덮는데. 아무것도 모르는 세 사람은 죽음과 저주의 왕국 한 가운데에서 살아난 미이라와의 사투를 벌인다.","['모험', '액션', '판타지']",1999-04-16,6.976,10017,28.6774,/31lxBgDl51HYnAnIV41aPyK4em7.jpg,['Stephen Sommers'],"['브랜든 프레이저', '레이첼 와이즈', '존 해나', '아널드 보슬루', '패트리시아 벨라스퀘즈']","['egypt', 'cairo', 'library', 'secret passage', 'pastor', 'pyramid', 'sandstorm', 'solar eclipse', 'mummy', 'foreign legion', 'nile', 'secret society', 'treasure hunt', 'remake', 'archaeologist', 'tomb', 'book of the dead', 'ancient egypt', 'opposites attract', '1920s', 'pharoah', 'playful', 'good versus evil', 'suspenseful', 'witty', 'exhilarated', 'egyptian god']"
1241982,모아나 2,바다를 누볐던 선조들에게서 예기치 못한 부름을 받은 모아나가 마우이와 다시 만나 새로운 선원들과 함께 오랫동안 잊혀진 멀고 위험한 바다 너머로 떠나는 특별한 모험을 담은 이야기,"['모험', '애니메이션', '코미디', '가족', '판타지']",2024-11-21,7.0,3077,28.5557,/hwmwTFtMbzxAWbIOp1RyyiOCyx0.jpg,"['David G. Derrick Jr.', 'Jason Hand', 'Dana Ledoux Miller']","['아울리이 크러발리오', '드웨인 존슨', 'Hualālai Chung', 'Rose Matafeo', 'David Fane']","['sea', 'ocean', 'villain', 'musical', 'sequel', 'coming of age', 'explorer', 'duringcreditsstinger', 'polynesia', 'seafarer', 'hopeful', 'female explorer']"
438631,듄,"10191년, 아트레이데스 가문의 후계자인 폴은 시간과 공간을 초월해 과거와 미래를 모두 볼 수 있고, 더 나은 미래를 만들 유일한 구원자인 예지된 자의 운명을 타고났다. 그리고 어떤 계시처럼 매일 꿈에서 아라키스의 행성에 있는 한 여인을 만난다. 귀족들이 지지하는 아트레이데스 가문에 대한 황제의 질투는 폴과 그 일족들을 죽음이 기다리는 아라키스로 이끄는데...","['SF', '모험']",2021-09-15,7.781,14900,27.764,/7zV8FTYofAORGm0Umgh1mNNCym8.jpg,['드니 빌뇌브'],"['티모시 샬라메', '레베카 퍼거슨', '오스카 아이작', '제이슨 모모아', '스텔란 스카스가드']","['empire', 'future', 'army', 'based on novel or book', 'prophecy', 'dystopia', 'emperor', 'sand', 'spice', 'chosen one', 'hallucinogen', 'treason', 'baron', 'revenge', 'premonition', 'betrayal', 'space', 'water shortage', 'creature', 'desert', 'knife fight', 'destiny', 'giant worm', 'space opera', 'sand dune', 'messiah', 'mother son relationship', 'giant creature', 'complicated', 'dune', 'best picture nominee', 'oscar winner']"
43947,네 무덤에 침을 뱉어라,시골 마을로 글을 쓰러 온 미모의 여성작가 제니퍼(사라 버틀러 분)는 도시를 벗어나 여유롭게 전원의 분위기를 만끽한다. 하지만 혼자 한적한 산장에서 지내는 그녀의 존재를 알게 된 동네 청년들과 보안관은 그녀의 집에 몰래 들어가 잔혹하게 그녀를 강간하고 폭행한다. 죽은 줄 알았던 그녀는 자신에게 끔찍한 상처를 준 가해자들에게 잔인한 복수를 하기 시작 하는데…,"['스릴러', '범죄', '공포']",2010-06-17,6.509,2569,28.2948,/vssZGmkZjmwZI9gMdVykycQgwlA.jpg,['Steven R. Monroe'],"['Sarah Butler', 'Jeff Branson', 'Tracey Walter', '앤드루 하워드', 'Chad Lindberg']","['rape', 'fondling', 'remake', 'revenge', 'writer', 'garden shears', 'rape and revenge', 'emasculation']"
